id,name,filename,Å×¸¶ ÄÚ¸àÆ®
36,CSO_Voxel_Wav37,ambience/cow.wav,
37,CSO_Voxel_Wav38,ambience/wolf.wav,
38,CSO_Voxel_Wav39,ambience/wolf_1.wav,
39,CSO_Voxel_Wav40,ambience/wolfhowl01.wav,
40,CSO_Voxel_Wav41,ambience/sheep.wav,
41,CSO_Voxel_Wav42,ambience/scream_01.wav,
42,CSO_Voxel_Wav43,ambience/scream_02.wav,
43,CSO_Voxel_Wav44,ambience/scream_03.wav,
44,CSO_Voxel_Wav45,ambience/scream_04.wav,
45,CSO_Voxel_Wav46,ambience/scream_05.wav,
46,CSO_Voxel_Wav47,ze_venice/radio_activate.wav,
47,CSO_Voxel_Wav48,ambience/siren.wav,
48,CSO_Voxel_Wav49,ambience/City_siren1.wav,
49,CSO_Voxel_Wav50,de_torn/torn_AK-47.wav,
50,CSO_Voxel_Wav51,de_torn/torn_MGun1.wav,
51,CSO_Voxel_Wav52,soccer/whitle_end.wav,
52,CSO_Voxel_Wav53,soccer/whitle_start.wav,
53,CSO_Voxel_Wav54,ambience/car1.wav,
54,CSO_Voxel_Wav55,ambience/car2.wav,
55,CSO_Voxel_Wav56,plats/vehicle_brake1.wav,
56,CSO_Voxel_Wav57,plats/vehicle3.wav,
57,CSO_Voxel_Wav58,plats/vehicle_ignition.wav,
58,CSO_Voxel_Wav59,metalarena/heal.wav,
59,CSO_Voxel_Wav60,ambience/doorbell.wav,
60,CSO_Voxel_Wav61,zs_defense/ice.wav,
61,CSO_Voxel_Wav62,zs_defense/laser.wav,
62,CSO_Voxel_Wav63,zs_defense/warning.wav,
63,CSO_Voxel_Wav64,zs_trace/burning_metal1.wav,
64,CSO_Voxel_Wav65,zs_defense/gas.wav,
65,CSO_Voxel_Wav66,studio/space/spaceambience.wav,space
66,CSO_Voxel_Wav67,studio/space/antena.wav,space
67,CSO_Voxel_Wav68,studio/space/Computers1.wav,space
68,CSO_Voxel_Wav69,studio/space/Computers2.wav,space
69,CSO_Voxel_Wav70,studio/space/Computers3.wav,space
70,CSO_Voxel_Wav71,studio/space/Gasleak.wav,space
71,CSO_Voxel_Wav72,studio/space/hologram1.wav,space
72,CSO_Voxel_Wav73,studio/space/hologram2.wav,space
73,CSO_Voxel_Wav74,studio/space/hologram3.wav,space
74,CSO_Voxel_Wav75,studio/space/hologram4.wav,space
75,CSO_Voxel_Wav76,studio/space/Rocketlaunch.wav,space
76,CSO_Voxel_Wav77,studio/soccer/ball_bounce_cage1.wav,soccer
77,CSO_Voxel_Wav78,studio/soccer/ball_bounce_cage2.wav,soccer
78,CSO_Voxel_Wav79,studio/soccer/cheer1.wav,soccer
79,CSO_Voxel_Wav80,studio/soccer/cheer2.wav,soccer
80,CSO_Voxel_Wav81,studio/soccer/white_noise1.wav,soccer
81,CSO_Voxel_Wav82,studio/soccer/white_noise2.wav,soccer
82,CSO_Voxel_Wav83,studio/escape/arrow.wav,escape
83,CSO_Voxel_Wav84,studio/escape/cask_spin.wav,escape
84,CSO_Voxel_Wav85,studio/escape/fire_end.wav,escape
85,CSO_Voxel_Wav86,studio/escape/fire_loop.wav,escape
86,CSO_Voxel_Wav87,studio/escape/Fire_small_loop.wav,escape
87,CSO_Voxel_Wav88,studio/escape/metal_impact.wav,escape
88,CSO_Voxel_Wav89,studio/escape/wind_noise.wav,escape
89,CSO_Voxel_Wav90,ambience/ghost.wav,halloween
90,CSO_Voxel_Wav91,studio/halloween/clock.wav,halloween
91,CSO_Voxel_Wav92,studio/halloween/heartbeat.wav,halloween
92,CSO_Voxel_Wav93,studio/halloween/horror.wav,halloween
93,CSO_Voxel_Wav94,studio/halloween/horror_amb.wav,halloween
94,CSO_Voxel_Wav95,studio/halloween/horror_hit1.wav,halloween
95,CSO_Voxel_Wav96,studio/halloween/horror_hit2.wav,halloween
96,CSO_Voxel_Wav97,studio/halloween/horror_hit3.wav,halloween
97,CSO_Voxel_Wav98,studio/halloween/spiralspring.wav,halloween
98,CSO_Voxel_Wav99,studio/halloween/step_heel.wav,halloween
99,CSO_Voxel_Wav100,zs_allout/train_horn1.wav,reform
100,CSO_Voxel_Wav101,zs_allout/train_pass.wav,reform
101,CSO_Voxel_Wav102,zs_rendezvous/blueprint_take.wav,reform
102,CSO_Voxel_Wav103,zs_rendezvous/fx_cave.wav,reform
103,CSO_Voxel_Wav104,zs_trace/Genoserv_4drips.wav,reform
104,CSO_Voxel_Wav105,zs_rendezvous/fx_sewer.wav,reform
105,CSO_Voxel_Wav106,zs_rendezvous/gull.wav,reform
106,CSO_Voxel_Wav107,zs_rendezvous/submarine_rise.wav,reform
107,CSO_Voxel_Wav108,ambience/seashore.wav,reform
108,CSO_Voxel_Wav109,zs_rendezvous/warship_artillery.wav,reform
109,CSO_Voxel_Wav110,zs_victor/powerdown.wav,reform
110,CSO_Voxel_Wav111,zs_victor/powerup.wav,reform
111,CSO_Voxel_Wav112,ambience/bell_noloop.wav,reform
112,CSO_Voxel_Wav113,ambience/chimes.wav,reform
113,CSO_Voxel_Wav114,ambience/churchbells.wav,reform
114,CSO_Voxel_Wav115,ambience/lv_fruit1.wav,reform
115,CSO_Voxel_Wav116,ambience/lv_fruit2.wav,reform
116,CSO_Voxel_Wav117,ambience/lv_fruitwin.wav,reform
117,CSO_Voxel_Wav118,pve_standalone/glass_impact.wav,reform
118,CSO_Voxel_Wav119,pve_standalone/knock_door1.wav,reform
119,CSO_Voxel_Wav120,zs_envymask/fantasy_child.wav,reform
120,CSO_Voxel_Wav121,studio/reform/collapse1.wav,reform
121,CSO_Voxel_Wav122,studio/reform/collapse2.wav,reform
122,CSO_Voxel_Wav123,studio/reform/collapse3.wav,reform
123,CSO_Voxel_Wav124,studio/reform/phone1.wav,reform
124,CSO_Voxel_Wav125,studio/reform/phone2.wav,reform
125,CSO_Voxel_Wav126,studio/reform/zombie_Female_Breathing1.wav,reform
126,CSO_Voxel_Wav127,studio/reform/zombie_Male_Breathing1.wav,reform
127,CSO_Voxel_Wav128,studio/reform/zombies_ambient1.wav,reform
128,CSO_Voxel_Wav129,studio/reform/zombies_ambient2.wav,reform
