relation_product_id,"reference item id
상품 정보를 참조할 아이템 아이디.","team
",inven_sortingindex,name,level,sortorder,"ad type
1=new
2=hot
3=new+hot
4=event
5=event+new
6=event+hot
7=event+hot+new",ImageName,"main product(가격순서)
0=첫번째
1
2
3","BuyerType
0=개인
1=클랜
공백=값을 사용 안함 (값이 있을경우 최우선적용,item.csv에 없는 아이템일경우  값기입필수)",EnhancedLv,FabExtraItemID(제조비법있는 상품일경우),shop type
20228,,,,g5decoder5classdecoder5couponset,,,,weaponticket,,,,,
20227,,,,cdecoder3sgmexskullt9d15couponset,,,,weaponticket,,,,,
20226,,,,seasonpass1g5decoder5set,,,,weaponticket,,,,,
20225,,,,g4decoder3epicpiece10set,,,,weaponticket,,,,,
20224,,0,3301,vxlweaponset02,,1012,3,vxlweaponset02,,,,,
20223,8336,,,y20s1yeongsinsprayb_50sale,,,,y20s1yeongsinsprayb_50sale,0,0,,,
20222,8335,,,y20s1leechangspraya_50sale,,,,y20s1leechangspraya_50sale,0,0,,,
20221,2215,0,,luckybox6_100p,,,3,luckybox6_100p,,,,,
20220,919,,,enhrunebladeset,,,,enhrunebladeset,,,,,
20219,,0,,monkeywpnset,,,,monkeywpnset,0,0,,,
20218,2179,,,,,,,bingoticket,,,,,1
20217,2179,,,,,,,bingoticket,,,,,1
20216,,,,seasonpass15grade,,,,seasonpass15grade,,,,,
20215,5302,,,MileageGift10P,,1017,3,MileageGift10P,,,,,
20214,2189,,,transboxset100P,,,3,transboxset100P,,,,,
20213,2189,,,transboxset50P,,,3,transboxset50P,,,,,
20212,2189,,,transboxset10P,,,3,transboxset10P,,,,,
20211,20211,0,,luckybox2_50sale,,,3,luckybox2_50sale,,,,,
20210,,0,2201,vxlcheerupset02,,1001,3,,,,,,
20209,,0,2201,vxlcheerupset01,,1000,3,,,,,,
20208,,0,3301,vxlweaponset01,,1012,3,,,,,,
20207,,0,,sfpistolPaintset,,,,,,,,,
20206,,0,,petrolboomerPaintset,,,,,,,,,
20205,,0,,chainsawmPaintset,,,,,,,,,
20204,,0,,airbursterPaintset,,,,,,,,,
20203,,0,,destroyerpaintset,,,,,,,,,
20202,,0,,laserminigunpaintset,,,,,,,,,
20201,,0,,m950sepaintset,,,,,,,,,
20200,923,0,,FabExtracrow3set,,,,,,,,7106,
20199,918,0,,FabExtracrow11set,,,,,,,,7105,
20198,673,0,,fabextrajanus9set,,,,,,,,7030,
20197,587,0,,FabExtraJanus5set,,,,,,,,7054,
20196,598,0,,FabExtrajanus1set,,,,,,,,7072,
20195,,0,,infinityex2paintset,,,,,,,,,
20194,,0,,bowpaintset,,,,,,,,,
20193,895,0,,FabExtracrow9set,,,,,,,,7104,
20192,,0,,spriflepaintset,,,,,,,,,
20191,,0,,sfsniperpaintset,,,,,,,,,
20190,,0,,plasmagunpaintset,,,,,,,,,
20189,,0,,FabExtrabalrog9setWeaponPaintPoison,,,,,,,,,
20188,,0,,FabExtrabalrog7setWeaponPaintPoison,,,,,,,,,
20187,,0,,FabExtrabalrog5setWeaponPaintPoison,,,,,,,,,
20186,,0,,FabExtrabalrog1setWeaponPaintPoison,,,,,,,,,
20185,504,0,,FabExtrabalrog9set,,,,,,,,7053,
20184,466,0,,FabExtrabalrog7set,,,,,,,,7070,
20183,482,0,,FabExtrabalrog5set,,,,,,,,7103,
20182,517,0,,FabExtrabalrog1set,,,,,,,,7071,
20181,867,0,,FabExtravulcanus3set,,,,,0,0,,7102,
20180,,0,,FabExtraskull11setWeaponPaintBlood,,,,,0,0,,7045,
20179,437,0,,FabExtraskull11set,,,,,0,0,,7045,
20178,,0,,FabExtraSkull9setWeaponPaintBlood,,,,,0,0,,7027,
20177,363,0,,FabExtraSkull9set,,,,,0,0,,7027,
20176,,0,,FabExtrabalrog11setWeaponPaiontPoison,,,,,0,0,,7044,
20175,,0,,FabExtrabalrog3setWeaponPaiontPoison,,,,,0,0,,7100,
20174,554,0,,FabExtrabalrog11set,,,,,0,0,,7044,
20173,532,0,,FabExtrabalrog3set,,,,,0,0,,7100,
20172,561,0,,FabExtrazgunset,,,,,0,0,,7085,
20171,681,0,,FabExtramonkeywpnset3set,,,,,0,0,,7058,
20170,680,0,,FabExtramonkeywpnset2set,,,,,0,0,,7057,
20169,679,0,,FabExtramonkeywpnset1set,,,,,0,0,,7056,
20168,726,0,,FabExtracrowbarcraftset,,,,,0,0,,7097,
20167,706,0,,FabExtrapetrolboomerset,,,,,0,0,,7062,
20166,682,0,,FabExtraM60Craftset,,,,,0,0,,7021,
20165,579,0,,FabExtraTknifeset,,,,,0,0,,7051,
20164,717,0,,FabExtracannonmset,,,,,0,0,,7025,
20163,858,0,,FabExtravulcanus1set,,,,,0,0,,7098,
20162,,0,,FabExtraskull7setWeaponPaintBlood,,,,,0,0,,7078,
20161,327,0,,FabExtraskull7set,,,,,0,0,,7078,
20160,,0,,FabExtraskull5setWeaponPaintBlood,,,,,0,0,,7086,
20159,367,0,,FabExtraskull5set,,,,,0,0,,7086,
20158,,0,,FabExtraskull3setWeaponPaintBlood,,,,,0,0,,7099,
20157,427,0,,FabExtraskull3set,,,,,0,0,,7099,
20156,,0,,FabExtraskull1setWeaponPaintBlood,,,,,0,0,,7069,
20155,407,0,,FabExtraskull1set,,,,,0,0,,7069,
20154,,0,,FabExtracrow5mdecoderset,,,,,0,0,,7095,
20153,848,0,,FabExtracrow5set,,,,,0,0,,7095,
20152,,0,,FabExtrabalrog11mdecoderset,,,,,0,0,,7044,
20151,,0,,FabExtrathanatos9mdecoderset,,,,,0,0,,7050,
20150,846,0,,FabExtrahk121set,,,,,0,0,,7091,
20149,842,0,,FabExtracrow7set,,,,,0,0,,7089,
20148,307,0,,FabExtradbarrelset,,,3,,0,0,,7046,
20147,833,0,,FabExtravulcanus11set,,,3,,0,0,,7087,
20146,834,0,,FabExtrathanatos3set,,,,,0,0,,7088,
20145,816,0,,FabExtravulcanus9set,,,3,,0,0,,7084,
20144,812,0,,FabExtrathanatos1set,,,,,0,0,,7079,
20143,422,0,,FabExtraspas12set,,,3,,0,0,,7063,
20142,344,0,,FabExtram95set,,,3,,0,0,,7014,
20141,493,0,,FabExtrauts15set,,,,,0,0,,7068,
20140,804,0,,FabExtravulcanus5set,,,3,,0,0,,7076,
20139,,0,,jinset,,,3,,0,0,,,
20138,787,0,,FabExtravulcanus7set,,,3,,0,0,,7067,
20137,469,0,,FabExtrakingcobraset,,,3,,0,0,,7060,
20136,608,0,,FabExtram2set,,,3,,0,0,,7016,
20135,197,0,,FabExtram1887set,,,,,0,0,,7059,
20134,585,0,,FabExtraarx160set,,,3,,0,0,,7019,
20133,304,0,,FabExtram14ebrset,,,,,0,0,,7032,
20132,784,0,,FabExtrathanatos5set,,,,,0,0,,7055,
20131,777,2,,vngirlset,,,,,0,0,,,
20130,,0,,vnset,,,3,,0,0,,,
20129,776,0,,FabExtrathanatos9set,,,,,0,0,,7050,
20128,213,0,,FabExtraM134set,,,3,,0,0,,7047,
20127,768,0,,FabExtram950set,,,,,0,0,,7040,
20126,,0,,FabExtrasfsnipermgatlingmset,,,3,,0,0,,,
20125,767,0,,FabExtragatlingmset,,,3,,0,0,,7029,
20124,766,0,,FabExtrasfsnipermset,,,3,,0,0,,7028,
20123,,0,,fabextrathanatos11setcodebbox50p,,,3,,0,0,,,
20122,,0,,fabextrathanatos11setcodeabox50p,,,3,,0,0,,,
20121,,0,,fabextrathanatos11setdecoderbox50p,,,3,,0,0,,,
20120,,0,,fabextrathanatos11setcodebbox30p,,,3,,0,0,,,
20119,,0,,fabextrathanatos11setcodeabox30p,,,3,,0,0,,,
20118,,0,,fabextrathanatos11setdecoderbox30p,,,3,,0,0,,,
20117,764,0,,fabextrathanatos11set,,,,,0,0,,7024,
20116,,0,,soizimset,,,,,0,0,,,
20115,753,0,,fabextrarpg7set,,,,,0,0,,7010,
20114,,0,,fabandmax6,,,,,0,0,,,
20113,,0,,fabandmax5,,,,,0,0,,,
20112,,0,,fabandmax4,,,,,0,0,,,
20111,,0,,fabandmax3,,,,,0,0,,,
20110,,0,,fabandmax2,,,,,0,0,,,
20109,,0,,fabandmax1,,,,,0,0,,,
20108,345,0,,fabextrakatanaset,,,,,0,0,,7005,
20107,242,0,,fabextrainfinityset,,,,,0,0,,7004,
20106,148,0,,fabextramg3set,,,,,0,0,,7003,
20105,385,0,,fabextraas50set,,,,,0,0,,7002,
20104,752,0,,fabextrathanatos7set,,,,,0,0,,7001,
20103,,0,,fabandmax6,,,,,0,0,,,
20102,,0,,fabandmax5,,,,,0,0,,,
20101,,0,,fabandmax4,,,,,0,0,,,
20100,,0,,fabandmax3,,,,,0,0,,,
20099,,0,,fabandmax2,,,,,0,0,,,
20098,,0,,fabandmax1,,,,,0,0,,,
20097,,0,,ozwpnset,,,,ozwpnset,0,0,,,
20096,,0,,war2setb,,,,,0,0,,,
20095,,0,,minorcodeb30p,,,3,,0,0,,,
20094,,0,,minorcodea30p,,,3,,0,0,,,
20093,,0,,minordecoder30p,,,3,,0,0,,,
20092,,0,,minorset,,,3,,0,0,,,
20091,,0,,janus7codebset30p,,,3,,0,0,,,
20090,,0,,janus7codeaset30p,,,3,,0,0,,,
20089,,0,,janus7decoderset30p,,,3,,0,0,,,
20088,,0,,war2seta,,,,,0,0,,,
20087,,0,,meisterset,,,,,0,0,,,
20086,,0,,fabplancsfabendumaxper,,,,,0,0,,,
20085,,0,,monkeywpnset,,,,,0,0,,,
20084,,0,,z4seta,,,,,0,0,,,
20083,,0,,zshpackage,,,,,0,0,,,
20082,,,,choipirate2,,,,,0,0,,,
20081,,0,,mercenaryset,,,,,0,0,,,
20080,587,,,janus5codebset30p,,,,,0,0,,,
20079,587,,,janus5codeaset30p,,,,,0,0,,,
20078,587,,,janus5decoder30p,,,,,0,0,,,
20077,562,,,skull8codebset30p,,,,,0,0,,,
20076,562,,,skull8codeaset30p,,,,,0,0,,,
20075,562,,,skull8decoder30p,,,,,0,0,,,
20074,,0,,skull4couponset,0,,,skull4couponset,,0,,,
20073,,,,zombiedskinsale,,,,zombiedskinsale,0,0,,,
20072,532,,,balrog3codebset30p,,,,,0,0,,,
20071,532,,,balrog3codeaset30p,,,,,0,0,,,
20070,532,,,balrog3decoder30p,,,,,0,0,,,
20069,517,,,balrog1codeaset30p,,,,,0,0,,,
20068,517,,,balrog1decoder30p,,,,,0,0,,,
20067,,0,,yurialice2,,,,yurialice2,0,0,,,
20066,511,2,,alice2,,,,,0,0,,,
20065,504,,,balrog9codeaset30p,,,,,0,0,,,
20064,504,,,balrog9decoder30p,,,,,0,0,,,
20063,482,,,balrog5codeaset30p,,,,,0,0,,,
20062,482,,,balrog5decoder30p,,,,,0,0,,,
20061,466,,,balrog7codeaset30p,,,,,0,0,,,
20060,466,,,balrog7decoder30p,,,,,0,0,,,
20059,,,,boomerresidentset,,,,boomerresidentset,0,0,,,
20058,,,,mg36m79axe,,,,,0,0,,,
20057,,1,,PirateSet,,,,PirateSet,0,0,,,
20056,,0,,ZombieDnoWeapon,0,,,,0,0,,,
20055,,0,,JenniferNatasha2,,,,,0,0,,,
20054,268,0,,XmasM95Mg3Set,,,,XmasM95Mg3Set,0,0,,,
20053,267,0,,XmasM95M134Set,,,,XmasM95M134Set,0,0,,,
20052,419,2,,MarineSet,,,,MarineSet,0,0,,,
20051,,0,,Skull1KatanaHP,,,,Skull1KatanaHP,0,0,,,
20050,,0,,MG36CodeASet30p,0,,,MG36CodeASet30p,0,0,,,
20049,,2,,ChnClassPack,,,,ChnClassPack,0,0,,,
20048,,0,,stg44CodeA,0,,,stg44CodeA,0,0,,,
20047,393,1,,BlairSet,0,,,BlairSet,0,0,,,
20046,392,2,,FernandoSet,0,98,2,FernandoSet,0,0,,,
20045,393,1,,BlairSet(50%),0,,,BlairSet,0,0,,,
20044,392,2,,FernandoSet(50%),0,,,FernandoSet,0,0,,,
20043,,0,,ZombieLnoWeapon,0,,,ZombieLnoWeapon,0,0,,,
20042,,0,,ZombieKnoWeapon,0,,,ZombieKnoWeapon,0,0,,,
20041,,0,,SpadeHunter,0,,,SpadeHunter,0,0,,,
20040,,0,,Skull57Set,0,,,Skull57Set,0,0,,,
20039,,0,,M79DecoderSet50p,0,,,M79DecoderSet50p,0,0,,,
20038,,0,,M79DecoderSet5p,0,,,M79DecoderSet5p,0,0,,,
20037,360,0,,ma_alice,0,,,ma_alice,0,0,,,
20036,,0,,ZombieJnoWeapon,0,,,ZombieJnoWeapon,0,0,,,
20035,,0,,an94m16a4,18,,,an94m16a4,1,0,,,
20034,,0,,ChoosukSet,0,,,ChoosukSet,0,0,,,
20033,,0,,ScenarioSet02,0,,,ScenarioSet02,0,0,,,
20032,,0,,ScenarioSet01,0,,,ScenarioSet01,0,0,,,
20031,,0,,LocalGirlSet01,0,,,LocalGirlSet01,0,0,,,
20030,,0,,SCWSet,0,,,SCWSet,0,0,,,
20029,,0,,CartSet01,0,,,CartSet01,0,0,,,
20028,,0,,ZombieInoWeapon,0,,,,0,0,,,
20027,,0,,m1887mg3SL8Set,0,,,m1887mg3SL8Set,0,0,,,
20026,,0,,mg3SL8Set,0,,,mg3SL8Set,0,0,,,
20025,,0,,m1887mg3Set,0,,,m1887mg3Set,0,0,,,
20024,,0,,m1887SL8Set,0,,,m1887SL8Set,0,0,,,
20023,,0,,ZombieGnoWeapon,0,,,,0,0,,,
20022,,0,,FakeSet03,0,,,,0,0,,,
20021,,0,,FakeSet02,0,,,,0,0,,,
20020,,0,,FakeSet01,0,,,,0,0,,,
20019,,0,,ZombieALLSet,0,,,,0,0,,,
20018,,0,,ZombieEnoWeapon,0,,,,0,0,,,
20017,,0,,ZombieDnoWeapon,0,,,,0,0,,,
20016,,0,,ZombieCnoWeapon,0,,,,0,0,,,
20015,,0,,ZombieBnoWeapon,0,,,,0,0,,,
20014,,0,,ZombieAnoWeapon,0,,,,0,0,,,
20013,,0,,AllWeaponOBTSet,0,,,,0,0,,,
20012,,0,,AllWeaponClassicSet,0,,,,0,0,,,
20011,,0,,WorldBestSet,0,,,,1,0,,,
20010,,0,,BestRifleSet,0,,,,1,0,,,
20009,,0,,MGSet,0,,,,1,0,,,
20008,,0,,PistolSet,0,,,,1,0,,,
20007,,0,,ShortRangeSet,0,,,,1,0,,,
20006,,0,,ShotgunSet,0,,,,1,0,,,
20005,,0,,VariableSet,0,,,,1,0,,,
20004,,0,,AssaultRifleSet,0,,,,1,0,,,
20003,,0,,SniperSet,0,,,,1,0,,,
20002,,0,,FastAttackSet,0,,,,1,0,,,
20001,,0,,SpeacialSet,0,,,,1,0,,,
20000,,0,,SMGSet,0,,,,1,0,,,
10106,5902,,,wpnascendpartsp5Pset,,,,wpnascendpartsp5Pset,0,0,,,
10105,5901,,,wpnascendpartadv6Pset,,,,wpnascendpartadv6Pset,0,0,,,
10104,5900,,,wpnascendpartnor8Pset,,,,wpnascendpartnor8Pset,0,0,,,
10103,9084,,,paintdecoder60p,,,,paintdecoder60p,0,0,,,
10102,9707,,,allstardecoder80P20P,,,,allstardecoder80P20P,0,0,,,
10101,9707,,,allstardecoder50P10P,,,,allstardecoder50P10P,0,0,,,
10100,9706,,,legenddecoder75P25P,,,,legenddecoder75P25P,0,0,,,
10099,2599,,,topdecoderEPIC5set,,,,topdecoderEPIC5set,0,0,,,
10098,2599,,,topdecoderEPIC_100Psale,,,,topdecoderEPIC_100Psale,0,0,,,
